Sort,File,Comparisons,Exchanges,Execution Time,Input Type,Size
QuickSortA,asc50.dat,1321,48,5750,Ascending Order,50
QuickSortA,rev50.dat,1297,49,2042,Reverse Order,50
QuickSortA,ran50.dat,934,169,4916,Random Order,50
QuickSortB,asc50.dat,49,49,11959,Ascending Order,50
QuickSortB,rev50.dat,1225,1274,2000,Reverse Order,50
QuickSortB,ran50.dat,1951,1956,3250,Random Order,50
QuickSortC,asc50.dat,49,49,750,Ascending Order,50
QuickSortC,rev50.dat,1225,1274,1833,Reverse Order,50
QuickSortC,ran50.dat,1258,1094,3125,Random Order,50
QuickSortD,rev50.dat,391,55,1166,Reverse Order,50
QuickSortD,asc50.dat,392,31,8083,Ascending Order,50
QuickSortD,ran50.dat,858,166,4292,Random Order,50
MergeSort,ran50.dat,477,672,23500,Random Order,50
MergeSort,rev50.dat,133,286,11250,Reverse Order,50
MergeSort,asc50.dat,153,286,24625,Ascending Order,50
QuickSortA,dup500.dat,6106,1132,22916,Random Order with Duplicates,500
QuickSortA,ran500.dat,6284,1138,28083,Random Order,500
QuickSortA,rev500-1.dat,125497,499,93209,Reverse Order,500
QuickSortA,asc500.dat,125746,498,106917,Ascending Order,500
QuickSortB,dup500.dat,10031,7842,17542,Random Order with Duplicates,500
QuickSortB,ran500.dat,11655,9846,24667,Random Order,500
QuickSortB,asc500.dat,120699,499,101792,Ascending Order,500
QuickSortB,rev500-1.dat,125350,5449,91666,Reverse Order,500
QuickSortC,ran500.dat,7869,5399,20167,Random Order,500
QuickSortC,dup500.dat,7432,4943,16458,Random Order with Duplicates,500
QuickSortC,asc500.dat,124474,499,108417,Ascending Order,500
QuickSortC,rev500-1.dat,125425,1724,91667,Reverse Order,500
QuickSortD,dup500.dat,6093,1141,24875,Random Order with Duplicates,500
QuickSortD,ran500.dat,6129,1130,27000,Random Order,500
QuickSortD,asc500.dat,5264,255,5500,Ascending Order,500
QuickSortD,rev500-1.dat,5263,504,5500,Reverse Order,500
MergeSort,ran500.dat,3854,4488,91792,Random Order,500
MergeSort,rev500-1.dat,2216,4488,25334,Reverse Order,500
MergeSort,dup500.dat,3842,4488,52708,Random Order with Duplicates,500
MergeSort,asc500.dat,2272,4488,46334,Ascending Order,500
QuickSortA,rev1K.dat,500997,999,5182708,Reverse Order,1000
QuickSortA,asc1K.dat,501496,998,434458,Ascending Order,1000
QuickSortA,ran1K.dat,14055,2505,44917,Random Order,1000
QuickSortA,dup1K.dat,13519,2532,361584,Random Order with Duplicates,1000
QuickSortB,rev1K.dat,500850,5949,2550250,Reverse Order,1000
QuickSortB,asc1K.dat,496449,999,459125,Ascending Order,1000
QuickSortB,ran1K.dat,22859,17647,37834,Random Order,1000
QuickSortB,dup1K.dat,20759,15979,217458,Random Order with Duplicates,1000
QuickSortC,rev1K.dat,500925,2224,848417,Reverse Order,1000
QuickSortC,asc1K.dat,500224,999,428209,Ascending Order,1000
QuickSortC,ran1K.dat,17516,11141,35750,Random Order,1000
QuickSortC,dup1K.dat,15959,10097,196292,Random Order with Duplicates,1000
QuickSortD,asc1K.dat,11532,511,11041,Ascending Order,1000
QuickSortD,rev1K.dat,11531,1010,98791,Reverse Order,1000
QuickSortD,dup1K.dat,12778,2562,309750,Random Order with Duplicates,1000
QuickSortD,ran1K.dat,13669,2486,58041,Random Order,1000
MergeSort,ran1K.dat,8705,9976,174292,Random Order,1000
MergeSort,dup1K.dat,8670,9976,181583,Random Order with Duplicates,1000
MergeSort,asc1K.dat,5044,9976,111125,Ascending Order,1000
MergeSort,rev1K.dat,4932,9976,983209,Reverse Order,1000
QuickSortA,dup2K.dat,33400,5572,95500,Random Order with Duplicates,2000
QuickSortA,ran2K.dat,30540,5481,98375,Random Order,2000
QuickSortA,asc2K.dat,2002996,1998,1581459,Ascending Order,2000
QuickSortA,rev2K.dat,2001997,1999,1393250,Reverse Order,2000
QuickSortB,dup2K.dat,50480,35160,84542,Random Order with Duplicates,2000
QuickSortB,ran2K.dat,51459,39367,87417,Random Order,2000
QuickSortB,asc2K.dat,1997949,1999,1571542,Ascending Order,2000
QuickSortB,rev2K.dat,2001850,6949,1352750,Reverse Order,2000
QuickSortC,dup2K.dat,39174,21753,78167,Random Order with Duplicates,2000
QuickSortC,ran2K.dat,35345,20702,79833,Random Order,2000
QuickSortC,asc2K.dat,2001724,1999,1830791,Ascending Order,2000
QuickSortC,rev2K.dat,2001925,3224,1372458,Reverse Order,2000
QuickSortD,ran2K.dat,29285,5470,106833,Random Order,2000
QuickSortD,dup2K.dat,30757,5422,99166,Random Order with Duplicates,2000
QuickSortD,rev2K.dat,25067,2022,21542,Reverse Order,2000
QuickSortD,asc2K.dat,25068,1023,23083,Ascending Order,2000
MergeSort,dup2K.dat,19417,21952,170083,Random Order with Duplicates,2000
MergeSort,ran2K.dat,19436,21952,187750,Random Order,2000
MergeSort,rev2K.dat,10864,21952,94208,Reverse Order,2000
MergeSort,asc2K.dat,11088,21952,152458,Ascending Order,2000
MergeSort,rev2K.dat,10864,21952,94208,Reverse Order,2000
QuickSortA,ran5K.dat,88236,15404,270041,Random Order,5000
QuickSortA,dup5K.dat,90858,15227,268209,Random Order with Duplicates,5000
